Icon,Date/Time,Description,"Event Type"
true,"1999-05-13 23:50:44","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0241043.WMF","File Modified"
true,"1998-03-11 07:28:16","/Program Files/Microsoft Office/CLIPART/PUB60COR/FD01176_.WMF","File Modified"
true,"1998-06-05 07:27:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21505_.GIF","File Modified"
true,"1999-05-13 23:51:16","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0241077.WMF","File Modified"
true,"1998-03-11 05:46:50","/Program Files/Microsoft Office/CLIPART/PUB60COR/FD01191_.WMF","File Modified"
true,"1998-06-05 07:28:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21518_.GIF","File Modified"
true,"1999-05-14 00:06:34","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0241773.WMF","File Modified"
true,"1998-03-11 01:52:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/FD01193_.WMF","File Modified"
true,"1998-06-05 07:28:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21519_.GIF","File Modified"
true,"1999-05-14 00:06:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0241781.WMF","File Modified"
true,"1998-03-11 05:46:44","/Program Files/Microsoft Office/CLIPART/PUB60COR/FD01196_.WMF","File Modified"
true,"1998-06-05 07:28:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21520_.GIF","File Modified"
true,"1998-06-05 07:30:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21533_.GIF","File Modified"
true,"1999-11-20 02:59:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/FD01548_.WMF","File Modified"
true,"1998-03-11 01:54:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/FD01657_.WMF","File Modified"
true,"1998-06-05 07:30:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21534_.GIF","File Modified"
true,"1998-06-05 07:30:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21535_.GIF","File Modified"
true,"1999-08-12 20:43:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0281630.WMF","File Modified"
true,"1999-08-12 20:43:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0281632.WMF","File Modified"
true,"1998-06-05 07:21:24","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115834.GIF","File Modified"
true,"1999-08-12 20:43:20","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0281638.WMF","File Modified"
true,"2001-07-22 06:38:28","/WINDOWS/ServicePackFiles/i386/pscript.hlp","File Modified"
true,"1998-06-05 07:21:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115835.GIF","File Modified"
true,"1999-08-23 18:58:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0282126.WMF","File Modified"
true,"1998-06-05 07:21:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115836.GIF","File Modified"
true,"1998-06-10 04:27:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115839.GIF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/FINCL_01.MID","File Modified"
true,"1998-06-10 04:27:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115840.GIF","File Modified"
true,"2001-08-17 19:01:34","/WINDOWS/system32/drivers/tosdvd.sys","File Created"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/FINCL_02.MID","File Modified"
true,"1998-06-10 04:27:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115841.GIF","File Modified"
true,"2001-08-17 19:06:22","/WINDOWS/system32/drivers/tsbvcap.sys","File Created"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/GRID_01.MID","File Modified"
true,"1998-06-10 04:27:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115842.GIF","File Modified"
true,"1998-03-10 06:17:16","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00057_.WMF","File Modified"
true,"1998-06-10 04:27:50","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/J0115863.GIF","File Modified"
true,"2001-08-18 03:36:28","/WINDOWS/system32/paqsp.dll","File Created"
true,"1998-03-10 06:06:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00084_.WMF","File Modified"
true,"1998-06-05 07:30:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15272_.GIF","File Modified"
true,"1998-03-10 05:17:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00231_.WMF","File Modified"
true,"1998-06-05 07:30:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15273_.GIF","File Modified"
true,"1998-03-15 10:53:22","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15274_.GIF","File Modified"
true,"1998-03-15 10:53:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15275_.GIF","File Modified"
true,"1998-04-30 04:14:52","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101856.BMP","File Modified"
true,"1998-03-15 10:53:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15276_.GIF","File Modified"
true,"1998-04-30 04:14:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101857.BMP","File Modified"
true,"2001-08-17 19:03:42","/WINDOWS/system32/drivers/usbcamd.sys","File Created"
true,"1998-03-15 10:53:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15277_.GIF","File Modified"
true,"1998-04-30 04:15:08","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101858.BMP","File Modified"
true,"2001-08-17 19:03:44","/WINDOWS/system32/drivers/usbcamd2.sys","File Created"
true,"1998-03-12 23:46:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21294_.GIF","File Modified"
true,"1998-04-30 04:14:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101859.BMP","File Modified"
true,"1998-12-15 01:00:22","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0195254.WMF","File Modified"
true,"1998-03-12 23:46:16","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21295_.GIF","File Modified"
true,"1998-04-30 04:14:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101860.BMP","File Modified"
true,"1998-12-15 01:00:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0195260.WMF","File Modified"
true,"1998-03-12 23:46:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21296_.GIF","File Modified"
true,"1998-04-30 04:14:34","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101861.BMP","File Modified"
true,"1998-12-15 01:01:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0195320.WMF","File Modified"
true,"1998-03-12 23:46:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21297_.GIF","File Modified"
true,"1998-04-30 04:14:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101862.BMP","File Modified"
true,"1998-12-15 01:01:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0195342.WMF","File Modified"
true,"1998-03-12 23:46:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21298_.GIF","File Modified"
true,"1998-04-30 04:15:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101863.BMP","File Modified"
true,"1998-03-12 23:46:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21299_.GIF","File Modified"
true,"1998-04-30 04:15:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101864.BMP","File Modified"
true,"1998-03-12 23:46:24","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21300_.GIF","File Modified"
true,"1998-04-30 04:14:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101865.BMP","File Modified"
true,"1998-04-30 04:14:48","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101866.BMP","File Modified"
true,"1998-06-05 07:00:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14529_.GIF","File Modified"
true,"1998-04-30 04:14:20","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0101867.BMP","File Modified"
true,"1998-06-05 07:22:34","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14752_.GIF","File Modified"
true,"1998-06-05 07:26:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14981_.GIF","File Modified"
true,"1998-03-15 10:58:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD15173_.GIF","File Modified"
true,"1999-01-06 23:56:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0196354.WMF","File Modified"
true,"1998-03-12 23:45:50","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21316_.GIF","File Modified"
true,"1999-01-06 23:56:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0196358.WMF","File Modified"
true,"1998-06-05 07:25:32","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD21482_.GIF","File Modified"
true,"1999-01-06 23:57:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0196364.WMF","File Modified"
true,"1998-06-05 07:00:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14530_.GIF","File Modified"
true,"2001-08-17 18:24:38","/WINDOWS/system32/drivers/cpqdap01.sys","File Created"
true,"1998-06-05 07:00:22","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14531_.GIF","File Modified"
true,"1999-01-12 00:24:32","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0197983.WMF","File Modified"
true,"1998-06-05 07:00:22","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14532_.GIF","File Modified"
true,"2000-10-10 21:05:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0198016.WMF","File Modified"
true,"1998-05-22 01:59:18","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0198020.WMF","File Modified"
true,"1998-06-05 07:00:22","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14533_.GIF","File Modified"
true,"1998-06-05 07:28:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD14565_.GIF","File Modified"
true,"2002-07-31 06:42:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0103850.WMF","File Modified"
true,"1998-06-05 07:30:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15302_.GIF","File Modified"
true,"1999-01-08 05:42:50","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0198377.WMF","File Modified"
true,"1998-03-12 23:45:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21334_.GIF","File Modified"
true,"1998-04-04 02:07:16","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10219_.GIF","File Modified"
true,"1998-06-10 04:30:06","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10256_.GIF","File Modified"
true,"2001-08-17 19:00:52","/WINDOWS/$NtServicePackUninstall$/swmidi.sys","File Modified"
true,"1998-06-05 07:11:52","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10289_.GIF","File Modified"
true,"1998-06-05 07:11:52","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10290_.GIF","File Modified"
true,"1998-06-05 07:12:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10307_.GIF","File Modified"
true,"2001-01-17 03:23:10","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/CMDDEFUI.DLL","File Modified"
true,"2002-07-31 06:42:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105246.WMF","File Modified"
true,"1998-06-05 07:12:04","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10308_.GIF","File Modified"
true,"2001-01-17 00:51:54","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/compsvcspkgui.dll","File Modified"
true,"1998-06-05 07:26:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD10358_.GIF","File Modified"
true,"2001-01-02 04:03:52","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/CSSMetaData.xml","File Modified"
true,"1998-06-05 07:13:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14516_.GIF","File Modified"
true,"2001-01-16 18:30:06","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/CSSPKGUI.DLL","File Modified"
true,"2002-07-31 06:42:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105272.WMF","File Modified"
true,"1998-06-10 04:30:06","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14538_.GIF","File Modified"
true,"2000-11-30 11:57:36","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/DISCO.XSL","File Modified"
true,"2001-08-17 17:19:34","/WINDOWS/system32/drivers/es1371mp.sys","File Modified"
true,"1998-06-10 04:30:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14539_.GIF","File Modified"
true,"2000-11-30 11:57:36","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/EMPTY.HTM","File Modified"
true,"1998-03-14 06:46:08","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02417U.BMP","File Modified"
true,"1998-06-05 07:12:30","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14594_.GIF","File Modified"
true,"2000-11-30 11:57:36","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/HelpWatermark.htm","File Modified"
true,"1998-03-14 06:45:58","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02466U.BMP","File Modified"
true,"1998-06-05 07:12:30","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14595_.GIF","File Modified"
true,"2001-01-16 18:28:16","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/htmdlgsUI.dll","File Modified"
true,"1998-06-05 07:21:16","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14677_.GIF","File Modified"
true,"1999-10-08 22:41:26","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02470U.BMP","File Modified"
true,"2001-01-16 18:30:46","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/HTMEDUI.DLL","File Modified"
true,"1998-03-14 06:45:18","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02503U.BMP","File Modified"
true,"1998-06-05 07:21:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14710_.GIF","File Modified"
true,"2001-01-17 00:51:28","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/MSENVUI.DLL","File Modified"
true,"1998-03-14 06:34:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02567J.JPG","File Modified"
true,"1998-06-05 07:21:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14711_.GIF","File Modified"
true,"2001-01-16 18:56:02","/Program Files/Common Files/Microsoft Shared/OFFICE12/VS Runtime/1033/VisualStudioTeamCoreUI.dll","File Modified"
true,"2002-07-31 06:42:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105298.WMF","File Modified"
true,"1998-03-14 05:48:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02736G.GIF","File Modified"
true,"1998-06-05 07:22:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14768_.GIF","File Modified"
true,"1998-03-14 06:42:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02736U.BMP","File Modified"
true,"1998-06-05 07:22:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14769_.GIF","File Modified"
true,"2002-07-31 06:42:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105320.WMF","File Modified"
true,"1998-03-14 06:42:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02738U.BMP","File Modified"
true,"1998-06-10 04:30:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14800_.GIF","File Modified"
true,"1998-03-14 05:48:06","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02740G.GIF","File Modified"
true,"1998-06-10 04:30:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14801_.GIF","File Modified"
true,"1998-03-14 06:41:38","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02740U.BMP","File Modified"
true,"1998-06-05 07:23:32","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14844_.GIF","File Modified"
true,"2001-08-17 18:57:26","/WINDOWS/system32/drivers/fsvga.sys","File Created"
true,"2002-04-24 06:38:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105336.WMF","File Modified"
true,"1998-03-14 05:47:58","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02742G.GIF","File Modified"
true,"1998-06-05 07:23:32","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14845_.GIF","File Modified"
true,"1998-03-14 06:41:26","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02742U.BMP","File Modified"
true,"1998-06-05 07:23:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14882_.GIF","File Modified"
true,"1998-03-14 05:47:52","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02743G.GIF","File Modified"
true,"1998-06-05 07:23:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14883_.GIF","File Modified"
true,"2001-08-17 19:02:26","/WINDOWS/system32/drivers/cinemst2.sys","File Created"
true,"1998-03-14 05:47:30","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02746G.GIF","File Modified"
true,"1998-06-05 07:26:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14996_.GIF","File Modified"
true,"1998-03-14 06:41:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02746U.BMP","File Modified"
true,"1998-06-05 07:26:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD14997_.GIF","File Modified"
true,"1998-03-14 05:47:18","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02748G.GIF","File Modified"
true,"1998-06-05 07:26:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15034_.GIF","File Modified"
true,"1998-03-14 06:40:58","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02748U.BMP","File Modified"
true,"1998-06-05 07:26:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15035_.GIF","File Modified"
true,"1999-10-30 01:42:26",/WINDOWS/Fonts/ALGER.TTF,"File Modified"
true,"1998-03-14 05:47:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02749G.GIF","File Modified"
true,"1998-06-05 07:27:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15072_.GIF","File Modified"
true,"1998-11-12 21:18:36","/WINDOWS/Fonts/ANTQUAB.TTF","File Modified"
true,"1998-03-14 06:38:50","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02750U.BMP","File Modified"
true,"1998-06-05 07:27:30","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15073_.GIF","File Modified"
true,"1998-11-12 21:18:40","/WINDOWS/Fonts/ANTQUABI.TTF","File Modified"
true,"1998-03-14 05:46:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02752G.GIF","File Modified"
true,"1998-06-10 04:30:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15155_.GIF","File Modified"
true,"1998-11-12 21:18:40","/WINDOWS/Fonts/ANTQUAI.TTF","File Modified"
true,"1998-03-14 06:35:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02752U.BMP","File Modified"
true,"1998-06-10 04:30:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15156_.GIF","File Modified"
true,"1998-03-14 06:45:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02753U.BMP","File Modified"
true,"1998-06-05 07:29:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15184_.GIF","File Modified"
true,"2002-07-31 06:42:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105412.WMF","File Modified"
true,"1998-03-14 06:44:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02754U.BMP","File Modified"
true,"1998-06-05 07:29:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15185_.GIF","File Modified"
true,"2002-07-31 06:42:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105414.WMF","File Modified"
true,"1998-03-14 06:44:20","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02755U.BMP","File Modified"
true,"1998-06-10 04:30:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD15301_.GIF","File Modified"
true,"1998-03-12 23:46:34","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21303_.GIF","File Modified"
true,"1998-03-14 06:44:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02756U.BMP","File Modified"
true,"1998-03-14 06:43:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02757U.BMP","File Modified"
true,"1998-03-15 13:24:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21305_.GIF","File Modified"
true,"1998-03-14 06:43:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02758U.BMP","File Modified"
true,"1998-03-15 13:17:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21307_.GIF","File Modified"
true,"2002-07-31 06:42:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/J0105506.WMF","File Modified"
true,"1998-03-14 06:32:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02759J.JPG","File Modified"
true,"1998-03-15 13:13:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21309_.GIF","File Modified"
true,"1998-03-12 23:46:06","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21311_.GIF","File Modified"
true,"1998-03-14 06:23:58","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02810J.JPG","File Modified"
true,"1998-03-11 10:41:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02829J.JPG","File Modified"
true,"1998-03-12 23:46:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21313_.GIF","File Modified"
true,"1998-03-12 23:45:54","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21315_.GIF","File Modified"
true,"1998-03-14 08:07:08","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH02845G.GIF","File Modified"
true,"1998-03-15 13:44:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21318_.GIF","File Modified"
true,"1998-03-09 21:43:14","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01130_.WMF","File Modified"
true,"1998-03-14 05:47:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH03011U.BMP","File Modified"
true,"1998-03-15 13:44:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21319_.GIF","File Modified"
true,"1999-10-15 22:55:52",/WINDOWS/Fonts/GIGI.TTF,"File Modified"
true,"1998-03-10 00:45:16","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01141_.WMF","File Modified"
true,"1998-03-14 05:45:44","/Program Files/Microsoft Office/CLIPART/PUB60COR/PH03012U.BMP","File Modified"
true,"1998-03-15 13:43:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21320_.GIF","File Modified"
true,"1999-03-18 04:07:30","/WINDOWS/Fonts/GILBI___.TTF","File Modified"
true,"1998-03-10 00:45:06","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01148_.WMF","File Modified"
true,"1998-03-10 05:15:52","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00236_.WMF","File Modified"
true,"1998-03-15 13:43:16","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21321_.GIF","File Modified"
true,"1999-03-18 04:07:34","/WINDOWS/Fonts/GILB____.TTF","File Modified"
true,"1998-03-10 05:14:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00241_.WMF","File Modified"
true,"1998-03-15 13:41:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21322_.GIF","File Modified"
true,"1999-04-03 04:32:34","/WINDOWS/Fonts/GILC____.TTF","File Modified"
true,"1998-03-09 21:43:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00260_.WMF","File Modified"
true,"1998-03-10 00:44:58","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01152_.WMF","File Modified"
true,"1998-03-12 23:45:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21323_.GIF","File Modified"
true,"1999-03-18 04:07:40","/WINDOWS/Fonts/GILI____.TTF","File Modified"
true,"1998-03-09 21:43:34","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00276_.WMF","File Modified"
true,"1998-03-10 00:44:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01154_.WMF","File Modified"
true,"1998-03-12 23:45:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21324_.GIF","File Modified"
true,"1999-04-03 04:32:44","/WINDOWS/Fonts/GILLUBCD.TTF","File Modified"
true,"1998-03-10 03:37:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00334_.WMF","File Modified"
true,"1998-03-12 23:45:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21325_.GIF","File Modified"
true,"1999-04-03 04:32:50","/WINDOWS/Fonts/GILSANUB.TTF","File Modified"
true,"1998-03-10 00:44:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01158_.WMF","File Modified"
true,"1998-03-10 04:12:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00443_.WMF","File Modified"
true,"1998-03-15 13:33:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21326_.GIF","File Modified"
true,"1999-03-18 04:07:40","/WINDOWS/Fonts/GIL_____.TTF","File Modified"
true,"1998-03-10 03:50:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00513_.WMF","File Modified"
true,"1998-03-12 23:45:34","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21328_.GIF","File Modified"
true,"1999-08-19 01:13:54",/WINDOWS/Fonts/GLECB.TTF,"File Modified"
true,"1998-03-09 21:43:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01164_.WMF","File Modified"
true,"1998-03-09 22:56:40","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00524_.WMF","File Modified"
true,"1998-03-12 23:45:30","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21330_.GIF","File Modified"
true,"1999-04-03 04:32:54","/WINDOWS/Fonts/GLSNECB.TTF","File Modified"
true,"1998-03-09 21:43:10","/Program Files/Microsoft Office/CLIPART/PUB60COR/NA01293_.WMF","File Modified"
true,"1998-03-09 22:56:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/HH00526_.WMF","File Modified"
true,"1998-03-12 23:45:24","/Program Files/Microsoft Office/MEDIA/OFFICE12/LINES/BD21332_.GIF","File Modified"
true,"1998-11-13 05:39:28","/WINDOWS/Fonts/GOTHIC.TTF","File Modified"
